Station,Divisions,x,y,"Attempts or threats to murder, assaults, harassments and related offences",Dangerous or negligent acts,Kidnapping and related offences,"Robbery, extortion and hijacking offences",Burglary and related offences,Theft and related offences,"Fraud, deception and related offences",Controlled drug offences,Weapons and Explosives Offences,Damage to property and to the environment,Public order and other social code offences,"Offences against government, justice procedures and organisation of crime"
Carndonagh,Donegal Division,+55.25350732,-7.25945634,561,292,2,4,177,396,33,125,35,638,793,74
Carnew,Wicklow Division,+52.71050738,-6.49176557,92,59,1,8,298,320,17,52,15,169,91,5
Carraig Airt,Donegal Division,+55.17512733,-7.79847989,112,83,0,0,75,144,22,12,8,184,346,9
Carrickbyrne,Wexford Division,+52.36237659,-6.75971343,82,122,0,2,255,340,14,57,14,151,104,6
Carrickmacross,Cavan/Monaghan Division,+53.97606318,-6.71877796,730,945,5,15,621,1343,154,482,57,1114,2451,250
Carrick-on-Bannow,Wexford Division,+52.23814514,-6.73401888,114,114,0,3,191,261,14,70,32,140,101,8
Carrick-On-Shannon,Sligo/Leitrim Division,+53.94434071,-8.09015263,620,595,2,7,476,1375,172,222,51,938,1983,136
Carrick-On-Suir,Tipperary Division,+52.34815439,-7.40989405,461,318,2,23,527,1103,112,604,81,761,934,125
Carrigaline,Cork City Division,+51.81483307,-8.39153675,403,436,1,12,460,1423,135,630,41,861,1489,69
Carrigallen,Sligo/Leitrim Division,+53.97559427,-7.64670249,25,35,0,1,66,89,7,5,12,49,66,8
Carrigans,Donegal Division,+54.95118529,-7.42675284,125,60,2,20,229,293,12,22,9,296,93,22
Carrigtwohill,Cork North Division,+51.90946930,-8.26181229,167,268,3,5,163,525,42,140,11,239,317,46
Cashel,Tipperary Division,+52.51633770,-7.8902971,355,386,6,22,438,885,60,416,100,534,711,138
Castlebar,Mayo Division,+53.85343297,-9.2976217,1149,798,5,44,952,3737,324,598,92,2096,3682,258
Castlebellingham,Louth Division,+53.89926256,-6.38994046,126,141,4,13,562,1028,28,37,21,484,147,15
Castleblayney,Cavan/Monaghan Division,+54.11785995,-6.73503685,656,944,8,24,467,1183,148,312,75,1060,2340,153
Castlebridge,Wexford Division,+52.38470816,-6.45256117,85,102,0,4,246,505,26,59,11,216,111,29
Castlecomer,Kilkenny/Carlow Division,+52.79926748,-7.20954236,258,199,0,18,579,753,45,182,24,409,529,50
Castleconnell,Limerick Division,+52.71340457,-8.49847433,137,178,2,18,525,1236,66,135,37,580,258,47
Castledermot,Kildare Division,+52.90922171,-6.84917741,117,126,1,26,485,541,14,42,11,264,64,13
Castlefin,Donegal Division,+54.80269558,-7.5952271,147,76,1,16,158,259,14,26,13,233,169,11
Castlegregory,Kerry Division,+52.25416689,-10.02061667,54,66,0,0,60,158,6,6,4,83,98,8
Castleisland,Kerry Division,+52.23037453,-9.46280058,291,199,0,10,188,533,51,115,73,335,689,57
Castlemaine,Kerry Division,+52.17023276,-9.7005905,51,86,0,1,61,126,12,20,10,68,90,14
Castlepollard,Westmeath Division,+53.67848276,-7.29663265,128,87,1,7,334,505,22,89,12,260,201,39
Castlerea,Roscommon/Longford Division,+53.76663397,-8.48406175,566,181,5,5,260,640,66,322,48,335,601,193
Castletownbere,Cork West Division,+51.64948076,-9.91468044,124,76,0,0,66,281,19,38,10,240,151,16
Castletownroche,Cork North Division,+52.17073066,-8.46795122,56,67,2,0,116,203,21,88,3,128,67,9
Cavan,Cavan/Monaghan Division,+53.99333367,-7.36087396,1632,1424,11,54,1101,3457,490,745,153,1698,4746,416
Celbridge,Kildare Division,+53.34399859,-6.54173228,460,359,5,99,1700,3818,179,526,67,1630,1016,105
Charlestown,Mayo Division,+53.96274373,-8.79351104,179,129,1,1,177,485,29,41,22,236,366,32
Charleville,Cork North Division,+52.35605252,-8.68256192,312,341,2,14,324,995,84,192,49,407,889,56
Cill Ronain,Galway Division,+53.12130730,-9.66781978,44,14,1,0,11,43,2,6,1,38,72,3
Clane,Kildare Division,+53.29365569,-6.68589487,416,401,3,96,1209,2002,117,338,57,942,499,48
Clara,Laois/Offaly Division,+53.34541446,-7.61410322,193,142,0,13,337,609,61,136,63,565,486,29
Claremorris,Mayo Division,+53.72361246,-8.98506451,394,342,4,15,234,974,109,158,56,548,923,42
Clifden,Galway Division,+53.48818064,-10.00924276,223,221,1,4,115,441,41,101,35,383,876,71
Cloch na Ron,Galway Division,+53.39357523,-9.92110362,21,18,0,1,10,31,0,8,0,44,50,2
Cloghan,Laois/Offaly Division,+53.22484831,-7.87751752,91,73,0,2,100,196,10,20,15,119,153,12
Clogheen,Tipperary Division,+52.27690063,-7.99533462,42,33,0,1,67,125,5,53,17,78,79,9
Clogher,Donegal Division,+54.83677449,-8.42749674,21,40,0,0,22,52,3,21,2,33,147,4
Clogherhead,Louth Division,+53.79041240,-6.24266853,103,43,4,6,286,619,5,65,13,310,92,21
Clonakilty,Cork West Division,+51.62494883,-8.88890895,446,303,2,4,234,908,92,347,36,637,1919,148
Clonark,Roscommon/Longford Division,+53.36839815,-8.03466103,29,74,0,5,140,234,8,5,2,96,63,16
Clonaslee,Laois/Offaly Division,+53.14861715,-7.52604694,37,35,0,1,98,123,5,11,7,119,48,6
Clonbologue,Laois/Offaly Division,+53.25914161,-7.08576437,41,14,0,3,131,154,5,16,3,86,27,8
Clondalkin,D.M.R. Western Division,+53.32314443,-6.39495858,1419,1614,16,651,3951,12528,787,2685,625,6789,4255,895
Clones,Cavan/Monaghan Division,+54.17749252,-7.22815212,365,309,0,4,124,428,52,54,24,323,386,41
Clonmany,Donegal Division,+55.26301007,-7.41281291,165,80,0,0,36,100,11,12,11,222,236,14
Clonmel,Tipperary Division,+52.35409105,-7.69993718,1165,1108,13,101,1370,3794,232,1943,368,2232,4101,409
Clonroche,Wexford Division,+52.45037577,-6.71586619,81,60,1,1,238,347,31,50,9,172,72,14
Clontarf,D.M.R. Northern Division,+53.36354575,-6.22015264,949,919,4,614,3866,9441,473,1018,237,4393,2810,271
Cloughjordan,Tipperary Division,+52.94196424,-8.03972118,16,9,0,1,60,80,1,19,4,52,97,1
Cloyne,Cork North Division,+51.86276430,-8.12349471,32,81,0,2,87,157,2,71,4,84,104,10
Coachford,Cork West Division,+51.90913393,-8.79113088,85,103,0,1,96,173,11,102,8,76,106,10
Cobh,Cork North Division,+51.84823780,-8.30364126,749,446,14,17,247,1236,108,556,54,1264,3293,155
Collon,Louth Division,+53.77785101,-6.48490178,47,44,2,3,194,323,11,12,3,124,44,5
Collooney,Sligo/Leitrim Division,+54.18547788,-8.48786473,125,196,1,7,181,364,45,83,14,281,225,34
Cong,Mayo Division,+53.54147122,-9.2865393,40,48,0,0,48,164,3,16,2,83,56,2
Convoy,Donegal Division,+54.85932273,-7.66899789,270,137,3,6,187,336,30,59,21,357,248,18
Coolaney,Sligo/Leitrim Division,+54.17236863,-8.60338152,40,26,0,1,37,94,5,29,3,76,47,10
Coolock,D.M.R. Northern Division,+53.39033544,-6.20110091,1597,1725,17,804,3630,11911,531,5861,950,7193,5484,1267
Cootehill,Cavan/Monaghan Division,+54.07470463,-7.07869818,414,274,1,9,357,575,83,129,43,418,1132,73
Corofin,Clare Division,+52.94748750,-9.06857099,47,49,0,1,104,132,5,42,2,74,59,15
Corofin,Galway Division,+53.43762553,-8.86307321,40,80,0,0,79,139,8,16,6,76,36,4
Courtown Harbour,Wexford Division,+52.64425497,-6.23052497,217,259,1,25,824,978,12,164,34,508,383,34
Craughwell,Galway Division,+53.22942919,-8.73392187,56,148,0,3,220,371,28,30,4,110,87,11
Creggs,Galway Division,+53.59486094,-8.36379707,11,19,1,1,25,23,1,1,0,12,10,0
Crookstown,Cork West Division,+51.85865510,-8.80126241,128,112,1,0,134,299,20,100,12,121,96,9
Croom,Limerick Division,+52.52199887,-8.71879388,99,66,2,5,187,447,22,49,17,230,194,22
Crosshaven,Cork City Division,+51.80397324,-8.30444566,120,87,0,4,112,376,25,160,10,230,316,23
Crossmolina,Mayo Division,+54.09980957,-9.32269546,101,125,0,1,110,211,20,21,9,135,248,18
Crumlin,D.M.R. Southern Division,+53.31957045,-6.31501462,870,763,16,378,3306,6493,438,1280,296,4826,2455,295
Crusheen,Clare Division,+52.93847680,-8.89863913,23,43,0,1,62,105,10,16,6,48,30,2
Daingean,Laois/Offaly Division,+53.29295546,-7.29356776,127,79,0,6,205,291,24,40,19,150,263,25
Delvin,Westmeath Division,+53.61445750,-7.09008438,94,143,1,8,271,409,16,306,8,204,200,17
Dingle,Kerry Division,+52.13924504,-10.27049495,218,252,0,4,91,209,20,109,13,181,959,16
Dolla,Tipperary Division,+52.79713688,-8.19210854,7,25,0,0,61,65,3,15,1,26,56,1
Donegal Town,Donegal Division,+54.65242685,-8.11105315,402,310,1,4,197,626,121,253,26,378,1642,84
Doneraile,Cork North Division,+52.21570692,-8.58541124,68,58,0,0,112,263,13,65,9,150,148,7
Donnybrook,D.M.R. South Central Division,+53.32173338,-6.23591178,703,1030,10,306,3913,9841,651,688,204,2791,3640,201
Douglas,Cork City Division,+51.87509001,-8.43095864,602,750,6,61,993,3040,149,795,73,1641,1979,151
Dowra,Cavan/Monaghan Division,+54.19042475,-8.01525362,22,9,0,0,23,42,2,0,2,20,72,3
Drimoleague,Cork West Division,+51.65902646,-9.26397963,49,51,0,0,69,136,8,80,3,78,92,7
Drinagh,Cork West Division,+51.64771411,-9.15452616,20,6,0,1,23,35,9,14,2,29,11,9
Drogheda,Louth Division,+53.71505965,-6.35664945,2046,1996,18,312,4635,9399,716,2091,400,5513,6919,988
Drumad,Louth Division,+54.09568025,-6.36082585,111,95,0,17,272,731,43,33,55,412,178,21
Drumcollogher,Limerick Division,+52.33821773,-8.91126334,71,40,0,3,213,229,23,20,10,122,96,9
Drumlish,Roscommon/Longford Division,+53.82169951,-7.76593609,93,77,0,0,97,160,19,16,2,106,155,25
Drumshambo,Sligo/Leitrim Division,+54.04650706,-8.03997937,126,90,1,4,151,294,25,10,26,223,501,13
Dublin Airport,D.M.R. Northern Division,+53.42988813,-6.24548699,140,271,61,8,52,2500,1392,443,170,328,1057,114
Duleek,Meath Division,+53.65386876,-6.418067,178,133,1,28,736,1093,55,62,25,581,216,26
Dun Fionnachaid,Donegal Division,+55.18291803,-7.97443963,57,59,3,1,96,131,6,5,10,151,222,3
Dun Laoghaire,D.M.R. Eastern Division,+53.28991481,-6.13335349,1441,802,10,374,5117,11182,716,1924,264,5214,7830,2467
Dunboyne,Meath Division,+53.42108978,-6.47714899,437,352,1,98,968,2349,137,186,49,803,524,31
Duncannon,Wexford Division,+52.22139845,-6.92977466,117,72,0,4,297,412,20,84,8,198,99,26
Dundalk,Louth Division,+53.99950327,-6.40966521,2484,2347,20,441,4314,11469,999,1468,545,7941,7339,1023
Dundrum,D.M.R. Eastern Division,+53.28954423,-6.24257781,1143,1062,10,413,6354,15470,964,2486,222,5475,3893,402
Dungarvan,Waterford Division,+52.08768833,-7.62447916,1001,843,9,45,1030,2885,189,982,183,1895,3340,227
Dunlavin,Wicklow Division,+53.05877828,-6.70106604,76,57,2,6,317,328,10,26,6,175,209,9
Dunleer,Louth Division,+53.82852056,-6.39456991,198,136,2,9,328,639,50,53,18,392,258,24
Dunmanway,Cork West Division,+51.72283143,-9.11014262,212,145,1,10,149,452,41,172,32,376,708,35
Dunmore East,Waterford Division,+52.14838576,-6.9928692,92,108,0,4,211,367,5,70,4,236,237,8
Dunmore,Galway Division,+53.61755291,-8.74063436,82,51,0,1,77,203,10,16,3,87,181,10
Dunshaughlin,Meath Division,+53.51076157,-6.53931168,293,298,0,36,763,1441,83,89,21,486,400,173
Durrow,Laois/Offaly Division,+52.84425999,-7.39609602,63,90,2,6,188,278,15,55,7,109,191,6
Durrus,Cork West Division,+51.62054425,-9.52396119,27,22,0,0,32,73,3,25,0,47,31,4
Edenderry,Laois/Offaly Division,+53.33683306,-7.06081941,469,301,3,34,820,1218,106,282,75,845,872,100
Edgeworthstown,Roscommon/Longford Division,+53.69557901,-7.60598459,289,194,6,24,496,703,51,140,52,467,414,43
Elphin,Roscommon/Longford Division,+53.84581690,-8.19247879,44,38,0,3,75,100,14,25,2,60,74,6
Emly,Tipperary Division,+52.46513177,-8.35418357,52,24,0,2,47,63,5,17,5,75,55,9
Emyvale,Cavan/Monaghan Division,+54.33935959,-6.95759629,140,152,0,2,149,496,39,40,11,178,153,28
Enfield,Meath Division,+53.41510635,-6.83386034,142,189,1,22,386,814,57,43,19,297,237,10
Ennis,Clare Division,+52.84692048,-8.98111378,1591,1676,10,146,1927,6433,528,2070,367,3187,6906,1419
Enniscorthy,Wexford Division,+52.50073571,-6.57068791,906,851,1,47,1391,2970,317,755,94,1961,2634,271
Enniscrone,Sligo/Leitrim Division,+54.21384801,-9.08851015,135,151,0,3,194,294,32,50,6,202,249,18
Enniskerry,Wicklow Division,+53.19134643,-6.16952592,70,51,0,20,397,998,15,98,17,481,109,14
Ennistymon,Clare Division,+52.93739700,-9.28854215,287,289,0,3,298,813,33,120,26,597,1160,70
Eyrecourt,Galway Division,+53.19942829,-8.13237103,35,23,1,0,84,128,5,6,9,77,33,10
Farranfore,Kerry Division,+52.17139505,-9.54968017,52,108,0,1,96,126,12,69,4,62,57,9
Ferbane,Laois/Offaly Division,+53.27075448,-7.82762507,108,104,2,0,210,364,25,30,14,186,200,19
Fermoy,Cork North Division,+52.13851992,-8.2741651,435,595,2,11,309,1140,180,819,74,875,2174,263
Ferns,Wexford Division,+52.59099590,-6.49776234,93,86,3,5,319,457,24,38,7,222,181,15
Ferrybank,Waterford Division,+52.26746595,-7.10111829,285,290,4,23,491,766,48,257,39,502,428,88
Fethard,Tipperary Division,+52.46639826,-7.69442163,148,124,2,5,301,306,18,109,33,293,239,15
Finglas,D.M.R. Western Division,+53.38961695,-6.30676131,1635,1406,20,1113,3322,12599,648,4395,1014,7899,5538,684
Fitzgibbon Street,D.M.R. North Central Division,+53.35773962,-6.25536324,1627,911,16,1097,3240,11613,599,2329,729,5202,4721,423
Foxford,Mayo Division,+53.98328879,-9.10840627,102,117,0,0,145,297,20,65,8,162,181,9
Foynes,Limerick Division,+52.60972942,-9.10367352,125,84,2,4,176,310,18,30,6,179,140,27
Frenchpark,Roscommon/Longford Division,+53.86923868,-8.40560392,76,56,0,4,116,258,11,40,7,107,138,4
Freshford,Kilkenny/Carlow Division,+52.73243917,-7.39441561,37,41,0,1,117,116,5,17,7,30,54,2
Gaillimh,Galway Division,+53.27134116,-9.05827834,3841,2945,25,413,5137,19122,1450,3444,448,7846,19298,2262
Garristown,D.M.R. Northern Division,+53.56705134,-6.38390626,41,50,0,9,238,412,9,29,7,92,48,9
Glanmire,Cork City Division,+51.91835759,-8.39684006,357,394,1,22,410,1656,146,420,72,900,1015,80
Glantaine,Cork North Division,+52.10469368,-8.74875837,48,70,0,0,77,144,5,30,2,71,90,4
Glasson,Westmeath,+53.47172274,-7.86352407,36,50,0,1,137,274,10,11,2,60,31,3
Gleann na Muaidhe,Mayo Division,+54.24083544,-9.67876405,61,23,0,0,22,42,3,3,2,92,201,3
Glenamaddy,Galway Division,+53.60744575,-8.5601798,65,40,0,1,44,94,13,4,4,48,70,10
Glenbeigh,Kerry Division,+52.05711965,-9.93705917,42,35,0,0,36,35,5,14,0,22,72,1
Glengarriff,Cork West Division,+51.75055993,-9.55070448,27,32,0,2,30,132,5,22,2,84,42,15
Glenmore,Kilkenny/Carlow Division,+52.35384352,-7.02800947,26,44,0,1,141,162,4,28,7,71,35,2
Glin,Limerick Division,+52.56958754,-9.2845049,36,22,1,5,93,137,11,21,3,90,59,26
Glynn,Wexford Division,+52.37277228,-6.58288416,41,54,0,0,130,110,13,41,3,72,28,9
Gob an Choire,Mayo Division,+53.93373003,-9.91848455,59,49,0,0,21,64,7,8,2,70,51,1
Golden,Tipperary Division,+52.49677075,-7.98469533,27,42,0,1,80,104,4,29,1,36,28,2
Goresbridge,Kilkenny/Carlow Division,+52.63003578,-6.99443065,36,82,0,8,245,358,11,77,6,168,113,9
Gorey,Wexford Division,+52.67504318,-6.29726342,624,919,6,38,1368,2631,185,517,113,1138,2286,407
Gort,Galway Division,+53.06743735,-8.81818235,213,420,1,6,244,745,80,276,26,346,811,103
Graiguenamanagh,Kilkenny/Carlow Division,+52.54246904,-6.95676887,82,117,0,6,240,361,17,60,12,196,242,10
Granard,Roscommon/Longford Division,+53.77855306,-7.49421728,221,200,0,12,410,595,59,96,26,404,448,61
Grange,Sligo/Leitrim Division,+54.39336705,-8.52074509,57,98,0,2,178,348,23,34,5,181,83,19
Greystones,Wicklow Division,+53.14796575,-6.06316568,579,381,4,92,2098,3933,201,429,106,2161,1777,115
Gurranabraher,Cork City Division,+51.90343796,-8.49658172,1412,855,7,135,1137,3559,180,2203,471,5024,4489,544
Gurteen,Sligo/Leitrim Division,+53.99296911,-8.51583244,68,44,0,2,62,181,11,31,1,99,75,10
Hackballscross,Louth Division,+54.03163859,-6.52415734,21,70,0,9,168,272,12,9,6,140,53,30
Hacketstown,Kilkenny/Carlow Division,+52.86434263,-6.55698265,52,28,1,13,143,164,12,41,7,95,69,8
Headford,Galway Division,+53.47031545,-9.09831209,98,84,0,1,148,269,22,26,1,104,90,12
Henry Street,Limerick Division,+52.66166638,-8.63160831,2876,2425,30,627,4207,21351,955,3769,917,7741,13689,2848
Holycross,Tipperary Division,+52.64257563,-7.87290415,30,70,0,2,125,121,6,38,5,67,122,16
Hospital Co Limerick,Limerick Division,+52.47523300,-8.43245398,103,59,0,5,139,269,18,63,10,161,185,16
Howth,D.M.R. Northern Division,+53.38729130,-6.06899719,388,431,5,198,1906,4205,186,515,125,2033,1565,135
Indreabhan,Galway Division,+53.24058634,-9.42956464,78,94,0,0,48,95,13,6,6,83,85,8
Innishannon,Cork West Division,+51.76442557,-8.65544291,32,111,0,0,66,129,9,126,9,63,68,4
Irishtown,D.M.R. South Central Division,+53.33824315,-6.22333901,436,423,17,217,3327,7615,373,635,143,2757,2267,195
Kanturk,Cork West Division,+52.17586793,-8.91257687,270,304,0,6,276,688,83,181,32,420,829,66
Keadue,Roscommon/Longford Division,+54.05064919,-8.13729853,36,18,0,1,42,100,4,67,0,34,26,8
Kealkil,Cork West Division,+51.75504418,-9.37531716,13,28,0,0,20,56,4,74,2,46,33,7
Keel,Mayo Division,+53.97537421,-10.08224714,40,31,0,0,16,64,3,1,2,44,62,0
Kells Ceanannus Mor,Meath Division,+53.72840438,-6.88121856,650,546,2,24,767,1843,184,316,69,992,1294,179
Kenagh,Roscommon/Longford Division,+53.62195359,-7.8151021,43,40,0,2,111,159,8,11,4,96,23,5
Kenmare,Kerry Division,+51.87849822,-9.58161839,167,213,1,1,191,450,48,89,18,232,805,42
Kerrykeel,Donegal Division,+55.13713768,-7.66632162,83,84,0,0,84,135,13,9,11,206,165,10
Kevin Street,D.M.R. South Central Division,+53.33897756,-6.2702429,2087,1357,19,1265,4626,13716,851,4151,831,6197,8053,736
Kilbeggan,Westmeath Division,+53.36854604,-7.49918092,105,108,0,10,346,575,29,21,5,194,113,14
Kilbrittain,Cork West Division,+51.67353350,-8.69011072,15,20,0,0,31,94,11,26,8,40,37,3
Kilcock,Kildare Division,+53.40384230,-6.67250116,295,176,0,42,830,1559,90,111,33,637,434,182
Kilconnell,Galway Division,+53.33137501,-8.40165899,40,24,0,0,33,63,4,7,1,32,396,4
Kilcormac,Laois/Offaly Division,+53.17618096,-7.72883654,83,51,0,1,129,222,10,22,11,201,120,13
Kilcullen,Kildare Division,+53.12914134,-6.74657293,242,236,1,32,959,1182,72,160,20,519,393,39
Kildare,Kildare Division,+53.15603798,-6.9072699,578,492,3,67,870,2079,218,377,73,1151,1698,127
Kildorrery,Cork North Division,+52.24543959,-8.42961702,45,62,0,0,115,188,12,46,7,110,72,3
Kildysart,Clare Division,+52.67460072,-9.10583965,32,27,0,0,46,75,7,11,0,38,31,8
Kilkee,Clare Division,+52.68240480,-9.6447191,287,217,0,7,291,479,43,248,35,534,1044,49
Kilkelly,Mayo Division,+53.87335892,-8.84344939,60,49,0,1,75,156,6,14,8,76,103,6
Kilkenny,Kilkenny/Carlow Division,+52.65244366,-7.25972851,2444,1849,7,119,3221,8942,648,2726,274,3187,10549,820
Kill Co Waterford,Waterford Division,+52.17732312,-7.33510427,63,34,0,1,104,204,5,37,3,121,96,5
Killala,Mayo Division,+54.21410179,-9.22051272,70,84,1,0,75,213,15,25,7,153,113,4
Killaloe,Clare Division,+52.80666265,-8.44366679,284,342,3,6,452,1113,57,306,52,520,672,154
Killarney,Kerry Division,+52.06240084,-9.51238217,1139,1307,6,40,894,3386,266,1233,147,1349,6394,446
Killeagh,Cork North Division,+51.93975887,-7.9949624,87,161,0,1,177,338,29,76,41,163,200,22
Killenaule,Tipperary Division,+52.56852336,-7.67282939,93,99,0,3,249,386,12,89,22,187,271,21
Killeshandra,Cavan/Monaghan Division,+54.01175242,-7.52593961,52,43,1,1,71,99,15,10,2,58,61,5
Killimor,Galway Division,+53.16588469,-8.29419495,41,63,1,2,115,130,4,19,3,56,66,6
Killorglin,Kerry Division,+52.10649611,-9.78714476,304,205,3,6,146,345,36,127,41,218,746,66
Killucan,Westmeath Division,+53.51471392,-7.13966403,83,75,1,7,184,309,36,33,9,181,114,30
Kilmacow,Kilkenny/Carlow Division,+52.31456492,-7.17484608,37,60,0,2,112,124,7,38,5,57,65,4
Kilmacrennan,Donegal Division,+55.02949685,-7.77851011,153,166,1,3,71,203,11,24,15,141,184,12
Kilmacthomas,Waterford Division,+52.20619401,-7.42132791,91,85,1,3,180,274,7,69,24,186,218,13
Kilmaine,Mayo Division,+53.58260070,-9.12379365,20,36,0,0,34,59,6,2,0,35,45,1
Kilmainham,D.M.R. South Central Division,+53.34186549,-6.30427037,1778,1359,22,804,3558,10493,536,1933,623,6387,6233,2775
Kilmallock,Limerick Division,+52.39838143,-8.57576343,341,138,1,3,342,621,78,112,41,413,791,110
Kilmeaden,Waterford Division,+52.24624969,-7.2450434,24,93,0,7,164,235,14,54,12,81,63,7
Kilmoganny,Kilkenny/Carlow Division,+52.46091886,-7.32928155,20,16,0,1,95,78,1,10,6,56,16,7
Kilmore Quay,Wexford Division,+52.17866662,-6.58372542,131,111,1,2,310,404,11,106,14,291,87,34
Kilnaleck,Cavan/Monaghan Division,+53.85846750,-7.31791683,145,200,1,3,234,359,24,23,6,153,134,24
Kilrickle,Galway Division,+53.23021801,-8.45244815,25,66,0,0,67,163,17,8,2,62,65,4
Kilrush,Clare Division,+52.64106586,-9.48107256,406,219,4,17,352,770,68,291,119,997,1021,182
Kilsheelan,Tipperary Division,+52.36152504,-7.57979973,28,35,0,0,82,94,5,34,2,32,70,5
Kiltimagh,Mayo Division,+53.84605363,-9.00576085,114,59,0,1,120,311,22,45,19,268,221,24
Kiltormer,Galway Division,+53.23757811,-8.27133719,11,25,0,0,38,60,0,1,2,25,29,0
Kilworth,Cork North Division,+52.17625615,-8.24956145,28,61,0,0,77,108,11,56,3,73,71,15
Kingscourt,Cavan/Monaghan Division,+53.90431021,-6.8067595,260,196,1,7,182,398,48,120,14,225,344,42
Kinlough,Sligo/Leitrim Division,+54.44577573,-8.28695797,88,51,2,2,94,248,10,39,6,155,140,19
Kinnegad,Westmeath Division,+53.45592300,-7.10281229,204,219,0,22,423,765,53,78,12,452,439,40
Kinnitty,Laois/Offaly Division,+53.09841546,-7.72214571,25,19,0,2,108,149,3,18,3,61,59,3
Kinsale,Cork West Division,+51.70631782,-8.52547987,702,396,4,5,346,1278,92,594,49,1029,1975,87
Kinvara,Galway Division,+53.14047425,-8.93972872,32,67,0,0,50,120,13,53,5,70,116,5
Knock,Mayo Division,+53.79536731,-8.9188379,37,65,0,1,84,209,10,13,5,89,58,4
Knocknagoshel,Kerry Division,+52.33066363,-9.38530611,88,67,3,0,93,98,6,18,7,109,429,35
Lanesboro,Roscommon/Longford Division,+53.67100790,-7.98528025,75,62,1,3,154,318,32,23,4,154,165,1
Laytown,Meath Division,+53.68919940,-6.24399726,525,515,5,81,1459,3439,124,392,64,1566,815,36
Leach Seoirse,Galway Division,+53.35705462,-8.93129855,192,280,1,7,510,698,71,75,10,268,197,26
Leamybrien,Waterford Division,+52.16933013,-7.52163024,55,56,0,3,164,281,6,32,10,114,62,6
Leitir Mor,Galway Division,+53.29429986,-9.65508393,73,33,0,0,30,53,1,0,5,47,41,12
Leixlip,Kildare Division,+53.36737943,-6.49825143,483,297,3,132,1106,2343,148,262,55,1591,2111,108
Letterfrack,Galway Division,+53.55420630,-9.94767533,44,81,0,0,54,120,15,24,4,91,77,5
Letterkenny,Donegal Division,+54.95469572,-7.73642147,2838,1772,6,83,1402,6014,574,1165,213,4067,8841,682
Lifford,Donegal Division,+54.83282604,-7.48026853,206,98,3,13,165,296,78,37,13,436,228,31
Liscarroll,Cork North Division,+52.25956434,-8.80626853,35,25,0,1,74,125,0,15,4,55,29,1
Lisdoonvarna,Clare Division,+53.02862143,-9.28966445,86,81,0,0,78,240,7,16,1,129,231,9
Lismore,Waterford Division,+52.13667244,-7.93551376,97,66,0,2,198,232,26,38,14,162,190,20
Lissycasey,Clare Division,+52.74605620,-9.15441233,62,80,0,1,71,136,17,33,7,100,68,6
Listowel,Kerry Division,+52.44713592,-9.48391384,564,542,0,20,422,1019,75,557,109,700,3407,333
Littleton,Tipperary Division,+52.64070258,-7.73492437,46,62,0,2,135,266,12,54,16,149,119,20
Lixnaw,Kerry Division,+52.40407260,-9.61664103,64,74,0,0,75,113,9,50,12,91,101,13
Longford,Roscommon/Longford Division,+53.73251290,-7.80137334,1091,973,7,84,1486,3683,385,955,201,1944,2873,451
Longwood,Meath Division,+53.45457124,-6.92695512,69,40,0,8,200,332,6,24,7,158,74,12
Lorrha,Tipperary Division,+53.09365534,-8.12207582,24,19,1,2,62,96,4,2,3,40,108,1
Loughrea,Galway Division,+53.19737626,-8.56994951,533,488,1,9,438,1235,185,206,43,746,1828,184
Louisburgh,Mayo Division,+53.76460740,-9.80759064,48,50,1,0,69,137,8,20,5,134,37,3
Louth,Louth Division,+53.95239797,-6.53791121,69,58,1,6,196,306,13,9,6,187,76,19
Lucan,D.M.R. Western Division,+53.35605095,-6.45067695,847,1239,22,277,2585,8740,548,1022,196,3704,2574,337
Lusk,D.M.R. Northern Division,+53.52342781,-6.16733971,423,604,2,79,1032,3176,99,269,63,1047,745,113
Macroom,Cork West Division,+51.90627258,-8.96399125,321,408,0,13,276,831,155,395,39,491,1361,101
Maigh Cuilinn,Galway Division,+53.33831072,-9.18116654,46,72,0,2,135,212,13,35,4,113,71,9
Malahide,D.M.R. Northern Division,+53.45115801,-6.15195311,650,426,5,180,2427,5491,298,729,101,3062,2353,117
Mallow,Cork North Division,+52.13876909,-8.64593587,896,918,4,28,573,2245,224,1105,143,1214,3419,369
Manorhamilton,Sligo/Leitrim Division,+54.30435970,-8.17850775,173,157,0,2,192,567,54,62,36,288,479,44
Mayfield,Cork City Division,+51.90968921,-8.42895009,558,580,4,86,536,2234,106,705,118,2203,1919,169
Maynooth,Kildare Division,+53.38081427,-6.59269719,591,497,2,130,1618,4007,209,184,31,1515,1476,52
Mayorstone Park,Limerick Division,+52.67373557,-8.64482122,1629,1147,14,316,2404,7601,292,2278,875,6968,5054,1660
Midleton,Cork North Division,+51.91667832,-8.1735208,457,903,3,13,560,1944,214,987,62,1101,2043,297
Milford Co Cork,Cork North Division,+52.34246534,-8.85640083,32,35,2,2,59,100,2,12,4,54,47,4
Milford,Donegal Division,+55.08698228,-7.69816964,203,102,2,3,54,205,22,28,9,177,596,21
Millstreet Co. Cork,Cork West Division,+52.06007088,-9.0615297,155,104,0,1,114,347,28,347,9,209,339,16
Milltown,Galway Division,+53.61160148,-8.89745394,14,55,1,0,42,112,14,5,2,30,22,5
