Station,Divisions,x,y,"Attempts or threats to murder, assaults, harassments and related offences",Dangerous or negligent acts,Kidnapping and related offences,"Robbery, extortion and hijacking offences",Burglary and related offences,Theft and related offences,"Fraud, deception and related offences",Controlled drug offences,Weapons and Explosives Offences,Damage to property and to the environment,Public order and other social code offences,"Offences against government, justice procedures and organisation of crime"
Templederry,Tipperary Division,+52.77414783,-8.07501146,10,5,0,1,12,19,0,0,2,6,9,0
Templemore,Tipperary Division,+52.79662883,-7.83508192,244,180,0,8,264,594,42,106,34,400,838,87
Templetuohy,Tipperary Division,+52.79029373,-7.72009724,29,28,1,0,45,74,1,2,5,29,95,1
Terenure,D.M.R. Southern Division,+53.30981355,-6.28803206,607,964,5,292,3208,6078,350,1446,182,3116,1789,184
Thomastown,Kilkenny/Carlow Division,+52.52895322,-7.14003832,149,149,1,3,169,474,101,156,30,263,405,26
Thurles,Tipperary Division,+52.67571574,-7.81189868,757,880,2,15,836,2319,221,757,119,1283,4772,381
Timoleague,Cork West Division,+51.64266521,-8.76624842,56,59,0,0,39,76,9,34,6,57,179,6
Tinahely,Wicklow Division,+52.79672529,-6.46928739,72,60,0,9,222,219,11,11,6,146,41,9
Tipperary,Tipperary Division,+52.47605442,-8.16289352,608,529,3,28,592,1585,130,514,124,1217,1917,204
Togher,Cork City Division,+51.87642925,-8.48629421,576,655,6,92,950,2794,192,1290,119,1923,2087,229
Toomevara,Tipperary Division,+52.84968245,-8.03650547,20,45,1,2,80,158,6,33,5,59,83,2
Tralee,Kerry Division,+52.26949061,-9.70883969,2106,1947,8,161,1666,6699,478,2193,351,2909,10167,1215
Tramore,Waterford Division,+52.16147427,-7.15340724,712,587,3,34,705,1699,98,882,98,1399,2572,117
Trim,Meath Division,+53.55311799,-6.78929711,486,608,1,43,1028,2015,241,402,89,1086,1318,323
Tuam,Galway Division,+53.51565887,-8.85588401,836,569,1,20,602,1524,169,294,66,1048,1818,342
Tubbercurry,Sligo/Leitrim Division,+54.05157000,-8.73426603,184,134,0,5,252,377,40,67,22,290,298,59
Tulla,Clare Division,+52.86538871,-8.75477505,82,58,0,4,130,223,16,47,14,103,87,6
Tullamore,Laois/Offaly Division,+53.27605318,-7.49491192,1266,1108,1,51,1645,4568,446,1165,269,2252,4438,747
Tullow,Kilkenny/Carlow Division,+52.80382917,-6.73339763,218,202,3,24,766,923,44,143,25,526,392,47
Tulsk,Roscommon/Longford Division,+53.77744435,-8.25182309,19,39,0,1,53,130,16,15,3,34,42,6
Urlingford,Kilkenny/Carlow Division,+52.72205385,-7.57983557,127,107,1,7,313,503,27,80,17,196,321,5
Virginia,Cavan/Monaghan Division,+53.83444090,-7.08193254,300,362,3,7,288,531,50,118,21,271,585,117
Watercourse Road,Cork City Division,+51.90713286,-8.47450731,1916,1330,10,457,1786,7752,350,2184,343,5826,6188,401
Waterford,Waterford Division,+52.26018787,-7.11367351,4030,2433,18,593,5866,18095,1005,6134,879,8676,15980,3413
Watergrasshill,Cork North Division,+52.01344230,-8.34202882,38,86,1,0,116,216,20,60,4,81,50,10
Westport,Mayo Division,+53.79906589,-9.51943053,655,512,3,18,683,1265,113,234,49,1015,2607,67
Wexford,Wexford Division,+52.33554520,-6.46199502,1174,1450,8,94,2322,6075,524,1877,228,3264,5108,745
Whitegate,Cork North Division,+51.82707313,-8.22781463,41,54,0,1,83,188,8,74,2,124,99,7
Wicklow,Wicklow Division,+52.98143612,-6.04263288,848,721,4,42,1242,2960,299,939,185,1546,2592,329
Williamstown,Galway Division,+53.67714316,-8.57841498,56,48,0,2,53,117,6,15,4,62,49,7
Woodford,Galway Division,+53.04760662,-8.40013594,17,35,0,0,48,75,7,8,2,35,44,0
Youghal,Cork North Division,+51.94806563,-7.84275015,457,351,0,15,506,1332,132,502,47,1183,1261,131
